Country Name,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,-2.136300373,2.07773902,4.316331941,0.627927922,-2.37226328,0.421637771,0.475066611,-0.886758352
Afghanistan,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955
Angola,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,10.27804607,32.37773407
Albania,2.231396835,3.615384615,3.442835932,2.036422356,1.925443995,1.613042353,1.910016978,1.275125281
Andorra,,,,,,,,
Arab World,2.795512836,3.911061955,4.753163889,4.902427272,3.234237838,2.772611584,1.610185208,1.844390956
United Arab Emirates,1.559800981,0.879216764,0.877346596,0.6622689,1.101118364,2.346268657,4.069966084,1.615925039
Argentina,,,,,,,,
Armenia,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559
American Samoa,,,,,,,,
Antigua and Barbuda,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796
Australia,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945
Austria,0.50630835,1.81353628,3.286581974,2.485673529,2.000158912,1.605804145,0.896565316,0.891592367
Azerbaijan,1.463159974,5.73238743,7.852383768,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552
Burundi,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614
Belgium,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647
Benin,2.156829962,2.307356822,2.720908513,6.744416882,0.890008647,-1.006043873,0.273667816,-0.848347682
Burkina Faso,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.954993317,-0.244764126
Bangladesh,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727
Bulgaria,2.753202239,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.79874909
Bahrain,2.795512836,1.961884683,-0.401486989,2.758286056,3.301006139,2.646291465,1.839519875,2.800594698
"Bahamas, The",2.062734735,1.344027384,3.198781417,1.97336756,0.722414785,1.506998589,1.86826447,-0.34637693
Bosnia and Herzegovina,-0.381464413,2.123490942,3.671250259,2.05267452,-0.093045684,-0.897194054,-1.023285045,-1.089130318
Belarus,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077
Belize,,,,,,,,
Bermuda,,,,,,,,
Bolivia,3.346454201,2.503276058,9.884464198,4.515602914,5.736400237,5.766600746,4.059610411,3.623214318
Brazil,4.888034799,5.038726901,6.636369353,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283
Barbados,3.643861893,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131
Brunei Darussalam,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.415121926,-0.739068722
Bhutan,4.361122191,7.036383161,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951,4.310168755
Botswana,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914
Central African Republic,3.5199021,1.493233784,1.300569969,5.772250594,1.501845124,25.28281065,37.14221481,
Canada,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547
Central Europe and the Baltics,2.753202239,1.801170221,4.130300688,3.334922677,1.438297872,0.053821313,-0.464499005,-0.054999542
Switzerland,-0.480467934,0.688233449,0.231336577,-0.692545842,-0.217308518,-0.01322916,-1.143900644,-0.434607639
Channel Islands,,,,,,,,
Chile,0.353045178,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559
China,-0.728171334,3.175327981,5.553897059,2.619526165,2.621049027,1.921643416,1.437024514,2
Cote d'Ivoire,1.019504577,1.226456121,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458
Cameroon,3.043618479,1.275380462,2.939699463,2.735296775,2.05034718,1.854898504,2.676235314,0.874190383
"Congo, Dem. Rep.",2.8,7.1,15.31651591,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073
"Congo, Rep.",4.415003748,0.391525011,1.759587043,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797
Colombia,4.201044769,2.271183264,3.417589591,3.167325603,2.018098479,2.897818744,4.990234275,7.514293228
Comoros,4.362348293,3.354757703,1.842663008,6.314744503,-4.294873315,,,
Cabo Verde,0.991103481,2.078664709,4.473883422,2.540396442,1.506542857,-0.238778145,0.131187999,-1.408430485
Costa Rica,7.842755588,5.662651262,4.878146811,4.495559566,5.231189489,4.519346498,0.801857162,-0.017471924
Caribbean small states,1.239738108,3.403267231,4.217242655,2.987662292,1.289501965,1.298220082,-0.650947889,0.533672177
Cuba,,,,,,,,
Curacao,1.753316054,2.779442613,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985
Cayman Islands,,0.276140862,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359
Cyprus,0.326276652,2.430040841,3.289753749,2.388752401,-0.399357676,-1.354988854,-2.096997691,-1.687890723
Czech Republic,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209
Germany,0.31273763,1.103809161,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625
Djibouti,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087
Dominica,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.786447746,0.231336293
Denmark,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25
